Time (sec.), Cycles, "bFlag"
1.172061653, 84388439, 1.000000000
1.173061681, 84460441, 0.000000000
1.174061722, 84532444, 1.000000000
1.175061750, 84604446, 0.000000000
1.176061792, 84676449, 1.000000000
1.177061819, 84748451, 0.000000000
1.178061861, 84820454, 1.000000000
1.179061889, 84892456, 0.000000000
1.180061931, 84964459, 1.000000000
1.181061958, 85036461, 0.000000000
1.182062000, 85108464, 1.000000000
1.183062028, 85180466, 0.000000000
1.184062069, 85252469, 1.000000000
1.185062097, 85324471, 0.000000000
1.186062139, 85396474, 1.000000000
1.187062167, 85468476, 0.000000000
1.188062208, 85540479, 1.000000000
1.189062236, 85612481, 0.000000000
1.190062278, 85684484, 1.000000000
1.191062306, 85756486, 0.000000000
1.192062347, 85828489, 1.000000000
1.193062375, 85900491, 0.000000000
1.194062417, 85972494, 1.000000000
1.195062444, 86044496, 0.000000000
1.196062486, 86116499, 1.000000000
1.197062514, 86188501, 0.000000000
1.198062556, 86260504, 1.000000000
1.199062583, 86332506, 0.000000000
1.200062625, 86404509, 1.000000000
1.201062653, 86476511, 0.000000000
1.202062694, 86548514, 1.000000000
1.203062722, 86620516, 0.000000000
1.204062764, 86692519, 1.000000000
1.205062792, 86764521, 0.000000000
1.206062833, 86836524, 1.000000000
1.207062861, 86908526, 0.000000000
1.208062903, 86980529, 1.000000000
1.209062931, 87052531, 0.000000000
1.210062972, 87124534, 1.000000000
1.211063000, 87196536, 0.000000000
1.212063042, 87268539, 1.000000000
1.213063069, 87340541, 0.000000000
1.214063111, 87412544, 1.000000000
1.215063139, 87484546, 0.000000000
1.216063181, 87556549, 1.000000000
1.217063208, 87628551, 0.000000000
1.218063250, 87700554, 1.000000000
1.219063278, 87772556, 0.000000000
1.220063319, 87844559, 1.000000000
1.221063347, 87916561, 0.000000000
1.222063389, 87988564, 1.000000000
1.223063417, 88060566, 0.000000000
1.224063458, 88132569, 1.000000000
1.225063486, 88204571, 0.000000000
1.226063528, 88276574, 1.000000000
1.227063556, 88348576, 0.000000000
1.228063597, 88420579, 1.000000000
1.229063625, 88492581, 0.000000000
1.230063667, 88564584, 1.000000000
1.231063694, 88636586, 0.000000000
1.232063736, 88708589, 1.000000000
1.233063764, 88780591, 0.000000000
1.234063806, 88852594, 1.000000000
1.235063833, 88924596, 0.000000000
1.236063875, 88996599, 1.000000000
1.237063903, 89068601, 0.000000000
1.238063944, 89140604, 1.000000000
1.239063972, 89212606, 0.000000000
1.240064014, 89284609, 1.000000000
1.241064042, 89356611, 0.000000000
1.242064083, 89428614, 1.000000000
1.243064111, 89500616, 0.000000000
1.244064153, 89572619, 1.000000000
1.245064181, 89644621, 0.000000000
1.246064222, 89716624, 1.000000000
1.247064250, 89788626, 0.000000000
1.248064292, 89860629, 1.000000000
1.249064319, 89932631, 0.000000000
1.250064361, 90004634, 1.000000000
1.251064389, 90076636, 0.000000000
1.252064431, 90148639, 1.000000000
1.253064458, 90220641, 0.000000000
1.254064500, 90292644, 1.000000000
1.255064528, 90364646, 0.000000000
1.256064569, 90436649, 1.000000000
1.257064597, 90508651, 0.000000000
1.258064639, 90580654, 1.000000000
1.259064667, 90652656, 0.000000000
1.260064708, 90724659, 1.000000000
1.261064736, 90796661, 0.000000000
1.262064778, 90868664, 1.000000000
1.263064806, 90940666, 0.000000000
1.264064847, 91012669, 1.000000000
1.265064875, 91084671, 0.000000000
1.266064917, 91156674, 1.000000000
1.267064944, 91228676, 0.000000000
1.268064986, 91300679, 1.000000000
1.269065014, 91372681, 0.000000000
1.270065056, 91444684, 1.000000000
1.271065083, 91516686, 0.000000000
1.272065125, 91588689, 1.000000000
1.273065153, 91660691, 0.000000000
1.274065194, 91732694, 1.000000000
1.275065222, 91804696, 0.000000000
1.276065264, 91876699, 1.000000000
1.277065292, 91948701, 0.000000000
1.278065333, 92020704, 1.000000000
1.279065361, 92092706, 0.000000000
1.280065403, 92164709, 1.000000000
1.281065431, 92236711, 0.000000000
1.282065472, 92308714, 1.000000000
1.283065500, 92380716, 0.000000000
1.284065542, 92452719, 1.000000000
1.285065569, 92524721, 0.000000000
1.286065611, 92596724, 1.000000000
1.287065639, 92668726, 0.000000000
1.288065681, 92740729, 1.000000000
1.289065708, 92812731, 0.000000000
1.290065750, 92884734, 1.000000000
1.291065778, 92956736, 0.000000000
1.292065819, 93028739, 1.000000000
1.293065847, 93100741, 0.000000000
1.294065889, 93172744, 1.000000000
1.295065917, 93244746, 0.000000000
1.296065958, 93316749, 1.000000000
1.297065986, 93388751, 0.000000000
1.298066028, 93460754, 1.000000000
1.299066056, 93532756, 0.000000000
1.300066097, 93604759, 1.000000000
1.301066125, 93676761, 0.000000000
1.302066167, 93748764, 1.000000000
1.303066194, 93820766, 0.000000000
1.304066236, 93892769, 1.000000000
1.305066264, 93964771, 0.000000000
1.306066306, 94036774, 1.000000000
1.307066333, 94108776, 0.000000000
1.308066375, 94180779, 1.000000000
1.309066403, 94252781, 0.000000000
1.310066444, 94324784, 1.000000000
1.311066472, 94396786, 0.000000000
1.312066514, 94468789, 1.000000000
1.313066542, 94540791, 0.000000000
1.314066583, 94612794, 1.000000000
1.315066611, 94684796, 0.000000000
1.316066653, 94756799, 1.000000000
1.317066681, 94828801, 0.000000000
1.318066722, 94900804, 1.000000000
1.319066750, 94972806, 0.000000000
1.320066792, 95044809, 1.000000000
1.321066819, 95116811, 0.000000000
1.322066861, 95188814, 1.000000000
1.323066889, 95260816, 0.000000000
1.324066931, 95332819, 1.000000000
1.325066958, 95404821, 0.000000000
1.326067000, 95476824, 1.000000000
1.327067028, 95548826, 0.000000000
1.328067069, 95620829, 1.000000000
1.329067097, 95692831, 0.000000000
1.330067139, 95764834, 1.000000000
1.331067167, 95836836, 0.000000000
1.332067208, 95908839, 1.000000000
1.333067236, 95980841, 0.000000000
1.334067278, 96052844, 1.000000000
1.335067306, 96124846, 0.000000000
1.336067347, 96196849, 1.000000000
1.337067375, 96268851, 0.000000000
1.338067417, 96340854, 1.000000000
1.339067444, 96412856, 0.000000000
1.340067486, 96484859, 1.000000000
1.341067514, 96556861, 0.000000000
1.342067556, 96628864, 1.000000000
1.343067583, 96700866, 0.000000000
1.344067625, 96772869, 1.000000000
1.345067653, 96844871, 0.000000000
1.346067694, 96916874, 1.000000000
1.347067722, 96988876, 0.000000000
1.348067764, 97060879, 1.000000000
1.349067792, 97132881, 0.000000000
1.350067833, 97204884, 1.000000000
1.351067861, 97276886, 0.000000000
1.352067903, 97348889, 1.000000000
1.353067931, 97420891, 0.000000000
1.354067972, 97492894, 1.000000000
1.355068000, 97564896, 0.000000000
1.356068042, 97636899, 1.000000000
1.357068069, 97708901, 0.000000000
1.358068111, 97780904, 1.000000000
1.359068139, 97852906, 0.000000000
1.360068181, 97924909, 1.000000000
1.361068208, 97996911, 0.000000000
1.362068250, 98068914, 1.000000000
1.363068278, 98140916, 0.000000000
1.364068319, 98212919, 1.000000000
1.365068347, 98284921, 0.000000000
1.366068389, 98356924, 1.000000000
1.367068417, 98428926, 0.000000000
1.368068458, 98500929, 1.000000000
1.369068486, 98572931, 0.000000000
1.370068528, 98644934, 1.000000000
1.371068556, 98716936, 0.000000000
1.372068597, 98788939, 1.000000000
1.373068625, 98860941, 0.000000000
1.374068667, 98932944, 1.000000000
1.375068694, 99004946, 0.000000000
1.376068736, 99076949, 1.000000000
1.377068764, 99148951, 0.000000000
1.378068806, 99220954, 1.000000000
1.379068833, 99292956, 0.000000000
1.380068875, 99364959, 1.000000000
1.381068903, 99436961, 0.000000000
1.382068944, 99508964, 1.000000000
1.383068972, 99580966, 0.000000000
1.384069014, 99652969, 1.000000000
1.385069042, 99724971, 0.000000000
1.386069083, 99796974, 1.000000000
1.387069111, 99868976, 0.000000000
1.388069153, 99940979, 1.000000000
1.389069181, 100012981, 0.000000000
1.390069222, 100084984, 1.000000000
1.391069250, 100156986, 0.000000000
1.392069292, 100228989, 1.000000000
1.393069319, 100300991, 0.000000000
1.394069361, 100372994, 1.000000000
1.395069389, 100444996, 0.000000000
1.396069431, 100516999, 1.000000000
1.397069458, 100589001, 0.000000000
1.398069500, 100661004, 1.000000000
1.399069528, 100733006, 0.000000000
1.400069569, 100805009, 1.000000000
1.401069597, 100877011, 0.000000000
1.402069639, 100949014, 1.000000000
1.403069667, 101021016, 0.000000000
1.404069708, 101093019, 1.000000000
1.405069736, 101165021, 0.000000000
1.406069778, 101237024, 1.000000000
1.407069806, 101309026, 0.000000000
1.408069847, 101381029, 1.000000000
1.409069875, 101453031, 0.000000000
1.410069917, 101525034, 1.000000000
1.411069944, 101597036, 0.000000000
1.412069986, 101669039, 1.000000000
1.413070014, 101741041, 0.000000000
1.414070056, 101813044, 1.000000000
1.415070083, 101885046, 0.000000000
1.416070125, 101957049, 1.000000000
1.417070153, 102029051, 0.000000000
1.418070194, 102101054, 1.000000000
1.419070222, 102173056, 0.000000000
1.420070264, 102245059, 1.000000000
1.421070292, 102317061, 0.000000000
1.422070333, 102389064, 1.000000000
1.423070361, 102461066, 0.000000000
1.424070403, 102533069, 1.000000000
1.425070431, 102605071, 0.000000000
1.426070472, 102677074, 1.000000000
1.427070500, 102749076, 0.000000000
1.428070542, 102821079, 1.000000000
1.429070569, 102893081, 0.000000000
1.430070611, 102965084, 1.000000000
1.431070639, 103037086, 0.000000000
1.432070681, 103109089, 1.000000000
1.433070708, 103181091, 0.000000000
1.434070750, 103253094, 1.000000000
1.435070778, 103325096, 0.000000000
1.436070819, 103397099, 1.000000000
1.437070847, 103469101, 0.000000000
1.438070889, 103541104, 1.000000000
1.439070917, 103613106, 0.000000000
1.440070958, 103685109, 1.000000000
1.441070986, 103757111, 0.000000000
1.442071028, 103829114, 1.000000000
1.443071056, 103901116, 0.000000000
1.444071097, 103973119, 1.000000000
1.445071125, 104045121, 0.000000000
1.446071167, 104117124, 1.000000000
1.447071194, 104189126, 0.000000000
